"PredictClose","ActualClose"
"156.22149658203125","167.2899932861328"
"157.60208129882812","162.9600067138672"
"156.4969940185547","159.86000061035156"
"154.77337646484375","159.94000244140625"
"154.03433227539062","158.27000427246094"
"153.14035034179688","154.3300018310547"
"151.29605102539062","154.41000366210938"
"150.525390625","155.9499969482422"
"150.85894775390625","158.55999755859375"
"152.092041015625","157.32000732421875"
"152.18234252929688","159.72999572753906"
"153.1066436767578","162.75"
"154.66104125976562","163.75"
"155.6889190673828","163.5"
"155.97103881835938","166.02999877929688"
"156.99224853515625","165.97999572753906"
"157.37496948242188","165.1199951171875"
"157.16744995117188","166.80999755859375"
"157.67491149902344","165.55999755859375"
"157.40972900390625","166.41000366210938"
"157.59249877929688","164.35000610351562"
"156.88949584960938","163.97000122070312"
"156.43157958984375","162.47999572753906"
